"OriginalPath","NewPath","SHA256","Bytes","Status"
"code screenshots\Manifest V3 format manifest.json filw.png","images\screenshots\code\Manifest V3 format manifest.json filw.png","17BDFB14E1B652B897E08A483A2BEA5A5924C0906158B83E1F28A656AEE0EA2C","78014","Moved"
"code screenshots\Mathematical Productivity Score.png","images\screenshots\code\Mathematical Productivity Score.png","0657562495208618120DEEB1C92D0342CDF9007AD8599CAB794C360FD36EE13A","93569","Moved"
"extracted_irp\text.txt","archive\extracted-documents\extracted_irp\text.txt","1CB1D1B5361BD7D6508B3057C46249547ABBEBAA65EE0CE498A91308A487CB28","65569","Moved"
"extracted_irp\word\media\image1.png","archive\extracted-documents\extracted_irp\word\media\image1.png","35CB33C95E23BE81BFAD76103132712E85ADD430565F2D81C466CF595313291C","440198","Moved"
"extracted_irp\word\media\image2.png","archive\extracted-documents\extracted_irp\word\media\image2.png","83F644D5C00520E3E711A29BD452B26218199DC778D913A99F2E0CBD9B60CE4B","655487","Moved"
"extracted_irp\word\media\image3.png","archive\extracted-documents\extracted_irp\word\media\image3.png","55ED6A825347121125D655E3777313C75B5F896729F581E8322CB29933E3434F","569614","Moved"
"extracted_irp\word\media\image4.png","archive\extracted-documents\extracted_irp\word\media\image4.png","4DE10F912E9374C923B630505B296B33AE4E8E332FE79845E8B40535089C2295","716449","Moved"
"extracted_irp\word\media\image5.png","archive\extracted-documents\extracted_irp\word\media\image5.png","6E7289E106B66D48EEBEADFA502C2E267D276BD7059BA1CB31C32CA1BDCA33B7","566059","Moved"
"extracted_irp\word\media\image6.png","archive\extracted-documents\extracted_irp\word\media\image6.png","596A445F91DFA65A50DA7C1D0F2380385FA3CF9B54A91CD4B92E350D5DDF340C","523310","Moved"
"extracted_irp\word\media\image7.png","archive\extracted-documents\extracted_irp\word\media\image7.png","E5A0422F260390A51F96062356CC6955590BA297E3D5E73D61D33FE6E0E5AD0F","787519","Moved"
"extracted_tabtime\text.txt","archive\extracted-documents\extracted_tabtime\text.txt","7305C26A0D643CF8A2076D7D17CBC4492BB03F55CB288A7CD0DC0DFCD9EE2184","44398","Moved"
"extracted_tabtime\word\media\image1.png","archive\extracted-documents\extracted_tabtime\word\media\image1.png","4DE10F912E9374C923B630505B296B33AE4E8E332FE79845E8B40535089C2295","716449","Moved"
"extracted_tabtime\word\media\image2.png","archive\extracted-documents\extracted_tabtime\word\media\image2.png","0231D7EFE0A3824653957657679852F7A9401D75E2B4326FA581966CE471F5FB","501490","Moved"
"extracted_tabtime\word\media\image3.png","archive\extracted-documents\extracted_tabtime\word\media\image3.png","5FDEC1B28FFE62CE1EC44FBEB835AA47F4F9517C7867AD253B1322C8C16AB423","79027","Moved"
"extracted_tabtime\word\media\image4.png","archive\extracted-documents\extracted_tabtime\word\media\image4.png","6576198409FC136567AC077BF5D7A1F16AD114CAF047D20E95E540077B86AFAD","358206","Moved"
"extracted_tabtime\word\media\image5.png","archive\extracted-documents\extracted_tabtime\word\media\image5.png","B7E97FCAF5E79EEC439376DD169FAEA345D49764FAF077852B07F0DB9BE8FBA3","1402119","Moved"
"figures\fig_code_focus.png","images\screenshots\code\fig_code_focus.png","72AAAB0436C6495FCC779B5C9BAD3837363D3234D21605ECF77C95B857BF0955","107858","Moved"
"figures\fig_code_manifest.png","images\screenshots\code\fig_code_manifest.png","17BDFB14E1B652B897E08A483A2BEA5A5924C0906158B83E1F28A656AEE0EA2C","78014","Moved"
"figures\fig_code_scoring.png","images\screenshots\code\fig_code_scoring.png","0657562495208618120DEEB1C92D0342CDF9007AD8599CAB794C360FD36EE13A","93569","Moved"
"figures\fig_code_storage.png","images\screenshots\code\fig_code_storage.png","5F28179ED1F56381481AA8FC950827662581EFD00837DFFB39AA0C85F8701F5F","93324","Moved"
"figures\fig_code_tracking.png","images\screenshots\code\fig_code_tracking.png","088FC7CEBC2D8DED93A8EC0B19EC8AB1163897A52A7086AD6BA93F8BFA0A1282","113626","Moved"
"figures\fig_data_flow_v2.png","images\diagrams\fig_data_flow_v2.png","0231D7EFE0A3824653957657679852F7A9401D75E2B4326FA581966CE471F5FB","501490","Moved"
"figures\fig_gform_behavioral_impact.png","images\charts\fig_gform_behavioral_impact.png","463DEBD74DCACF26B5B01EEBDE6AF94366D56174043C91EC2FCE94E558F571F7","210826","Moved"
"figures\fig_gform_demographics.png","images\charts\fig_gform_demographics.png","D6FBF0CFA6BED350556ACC632469A1B1BE32D45AF189623997A77BCD5A93BDF2","234571","Moved"
"figures\fig_gform_feature_ratings.png","images\charts\fig_gform_feature_ratings.png","1158B40941493E3D84F457D32DF5F5459CE373A1F8E693D4545996F0C80426CC","146873","Moved"
"figures\fig_gform_overview_mockup.png","images\mockups\fig_gform_overview_mockup.png","69ADAE6444773FCC477DA46FCD25CC2B1039CDCDF98C8394FF6D4CA33F32501A","426174","Moved"
"figures\fig_gform_questionnaire_part1.png","images\screenshots\questionnaire\fig_gform_questionnaire_part1.png","B9A6BAC85B7A54949CD129DD2843DD8FD6A1125DD6DC12157BE1BBD9B09A2ED1","285028","Moved"
"figures\fig_gform_questionnaire_part2.png","images\screenshots\questionnaire\fig_gform_questionnaire_part2.png","C6287BBD350CB6809E1E35BD49C213B92DC4D478FBF346BB10A2A14CB6053B49","60055","Moved"
"figures\fig_gform_questionnaire_part3.png","images\screenshots\questionnaire\fig_gform_questionnaire_part3.png","25A6D3B142461E617328F6ECD28EB296CBD6143288E4D44C61850288DE5E4306","56062","Moved"
"figures\fig_gform_questionnaire_part4.png","images\screenshots\questionnaire\fig_gform_questionnaire_part4.png","CCA23338D3C181B68D44BC3B314517B230799F124DCFF43D368BAF9722F9D47B","48299","Moved"
"figures\fig_gform_questionnaire_part5.png","images\screenshots\questionnaire\fig_gform_questionnaire_part5.png","CA37735FA5D3074A186181C3DC1D58EB9B2BAD34C8204D1563DBCBFCFD8B913C","45761","Moved"
"figures\fig_gform_spreadsheet_part1.png","images\screenshots\survey-responses\fig_gform_spreadsheet_part1.png","8790544797BE8453B82C8A9FAA09ACDEC73ABC5BC0463CD65BAE3330EC096F8B","191685","Moved"
"figures\fig_gform_spreadsheet_part2.png","images\screenshots\survey-responses\fig_gform_spreadsheet_part2.png","5CBA54F17AE4589100A87A52DE8733E497737235ED2DD33EB24A16AEC24B91C8","185316","Moved"
"figures\fig_gform_sus_breakdown.png","images\charts\fig_gform_sus_breakdown.png","8F69455D647CA25385645D616696DAD5ED4CE7B6BD6ADC0E4AF9805C1FCD6730","239009","Moved"
"figures\fig_ui_dashboard.png","images\screenshots\interface\fig_ui_dashboard.png","5FDEC1B28FFE62CE1EC44FBEB835AA47F4F9517C7867AD253B1322C8C16AB423","79027","Moved"
"figures\fig_ui_popup.png","images\screenshots\interface\fig_ui_popup.png","6576198409FC136567AC077BF5D7A1F16AD114CAF047D20E95E540077B86AFAD","358206","Moved"
"figures\fig_ui_settings.png","images\screenshots\interface\fig_ui_settings.png","B7E97FCAF5E79EEC439376DD169FAEA345D49764FAF077852B07F0DB9BE8FBA3","1402119","Moved"
"figures\fig1_conceptual_overview.png","images\diagrams\fig1_conceptual_overview.png","35CB33C95E23BE81BFAD76103132712E85ADD430565F2D81C466CF595313291C","440198","Moved"
"figures\fig2_main_aim.png","images\diagrams\fig2_main_aim.png","83F644D5C00520E3E711A29BD452B26218199DC778D913A99F2E0CBD9B60CE4B","655487","Moved"
"figures\fig3_functional_requirements.png","images\diagrams\fig3_functional_requirements.png","55ED6A825347121125D655E3777313C75B5F896729F581E8322CB29933E3434F","569614","Moved"
"figures\fig4_three_layer_architecture.png","images\diagrams\fig4_three_layer_architecture.png","4DE10F912E9374C923B630505B296B33AE4E8E332FE79845E8B40535089C2295","716449","Moved"
"figures\fig5_data_flow_logic.png","images\diagrams\fig5_data_flow_logic.png","6E7289E106B66D48EEBEADFA502C2E267D276BD7059BA1CB31C32CA1BDCA33B7","566059","Moved"
"figures\fig6_analytics_pipeline.png","images\diagrams\fig6_analytics_pipeline.png","596A445F91DFA65A50DA7C1D0F2380385FA3CF9B54A91CD4B92E350D5DDF340C","523310","Moved"
"figures\fig7_testing_strategy.png","images\diagrams\fig7_testing_strategy.png","E5A0422F260390A51F96062356CC6955590BA297E3D5E73D61D33FE6E0E5AD0F","787519","Moved"
"figures\tabtime_form_banner.jpg","images\banners\tabtime_form_banner.jpg","098EC508E2EE51B68A37CC8D8C9D2776AA9FCBBD6823C2647866FEB3D5409CBF","619794","Moved"
"tabtime-extension\background.js","tabtime-extension\background.js","6F8767D7BEC950FAE61A52235E507244CCA1DF98279AA554C4EE10FB4544792F","10271","Unchanged"
"tabtime-extension\blocked.css","tabtime-extension\blocked.css","23EBB538B3F25F8C07A163BA6A7E7BA658E1BD004DB819A7F2C9E67E3B6A4FBA","2463","Unchanged"
"tabtime-extension\blocked.html","tabtime-extension\blocked.html","F7E04C21D4FCA47FFAC222B94B5331959843400B7AD339C57F901069F84A2547","1341","Unchanged"
"tabtime-extension\blocked.js","tabtime-extension\blocked.js","51875D5B93BCD8F6B961CE1F41305DC1D073F493B4102DD27F56FA3C1859CEE3","1307","Unchanged"
"tabtime-extension\dashboard.css","tabtime-extension\dashboard.css","835A48DE303A702BEDC5E02B30B9EB54E426B84E7FD00A222CFBA2CFC77A0A33","5544","Unchanged"
"tabtime-extension\dashboard.html","tabtime-extension\dashboard.html","07E2CE8701ECA41098A1ADE2E13935C0F1EB36746EA2E0E416EB97BA3D6C19CE","5288","Unchanged"
"tabtime-extension\dashboard.js","tabtime-extension\dashboard.js","B12980B6AEE27CBE32CA44B50474B293F1DEBCE851957F85BD030812D9EF93A8","10107","Unchanged"
"tabtime-extension\manifest.json","tabtime-extension\manifest.json","9DF43EAA9667FE9C33FE70BD2B452CF350F8FB515B755F039A3B68D28CA18F72","1106","Unchanged"
"tabtime-extension\popup.css","tabtime-extension\popup.css","D1A4268F83E6E2C3146C81FE01F512F9A4926CE5C223F1B0FE535FDC2E377E66","5651","Unchanged"
"tabtime-extension\popup.html","tabtime-extension\popup.html","E4615BDD371C240822E0F74A440C274450565C7D829C17AF9CC0A9BC764EEF0F","3877","Unchanged"
"tabtime-extension\popup.js","tabtime-extension\popup.js","96A3B152C9B9A67729C0586A0C004AEA785C9913F60BF4654C3D6CA4BC7DA151","7245","Unchanged"
"tabtime-extension\README.md","tabtime-extension\README.md","E371CC172153791D92B4848C59EC1F2E880B87FF45BCF219BCD72DC4A6B3DE0B","3253","Unchanged"
"tabtime-extension\settings.css","tabtime-extension\settings.css","35B8708E4CE3FCF8A5427B14D9CC892A01FE258239A13FA52DA6935CB4E02F45","4605","Unchanged"
"tabtime-extension\settings.html","tabtime-extension\settings.html","CBB006E060810414D9795EB923F5D756CD6386610E81E5D151BC47CA070A9A07","3781","Unchanged"
"tabtime-extension\settings.js","tabtime-extension\settings.js","AEF4C4CA9234837EDD82F41756CAB5DBAF781140989C40794A4EA5C2CC3F3696","4996","Unchanged"
"tabtime-extension\storage.js","tabtime-extension\storage.js","9647EB36760CA8CCA2928EE2EAC2174792CC52E25A176536369CD97979B8CBAB","4635","Unchanged"
"tabtime-extension\icons\icon128.png","tabtime-extension\icons\icon128.png","4000C2558004D752212E702D1EE768A8BC0E59E4FBF01145D692CDC52204BFBF","1480","Unchanged"
"tabtime-extension\icons\icon16.png","tabtime-extension\icons\icon16.png","E35D33E99FD3A6FC8AEB77BCF4F1FA447C46B3DEDFBDD3554F25FB340FFE3258","229","Unchanged"
"tabtime-extension\icons\icon32.png","tabtime-extension\icons\icon32.png","FF08AD52C2FF0EC254EFF090EA1A4B8BC2075E2CA9FC06348E0940254D63C0C6","359","Unchanged"
"tabtime-extension\icons\icon48.png","tabtime-extension\icons\icon48.png","09F8236042F549BE4E7488C15522D311CED4292C80BF5F787B2A1975F7A1ED1A","526","Unchanged"
"tabtime-extension\libs\chart.umd.js","tabtime-extension\libs\chart.umd.js","74401D738DD3E03EE5DFB3B6841210FE2C4EAD8A960C4011CA4BA0B78A9FD8F3","205125","Unchanged"
