Timestamp,What is your primary professional / academic role?,Which web browser do you use as your primary tool?,"On average, how many hours per day do you spend in web browsers?","I think that I would like to use Tab Time frequently. (1 = Strongly Disagree, 5 = Strongly Agree)",I found the extension unnecessarily complex.,I thought the extension was easy to use.,I think that I would need technical support to use Tab Time.,I found the various functions were well integrated.,I thought there was too much inconsistency in this system.,I would imagine that most people would learn to use this quickly.,I found the extension very cumbersome to use.,I felt very confident using the extension.,I needed to learn a lot of things before I could get going.,Rate the accuracy of real-time time tracking (,Rate the clarity of dashboard charts & analytics,Rate the effectiveness of Focus Mode & blocking,How reassuring is knowing 100% of data stays locally on your PC?,Did Tab Time increase your awareness of time spent online?,Did Focus Mode reduce your distraction-related interruptions during work/study?,"What did you like most about Tab Time, and what could be improved in future versions?"
2026/05/27 11:04:21,Undergraduate Student,Google Chrome,6 – 8 Hours,4,2,5,1,5,1,5,1,4,1,5,4,5,5,Strongly Agree,Significant Reduction,"Great tool for keeping myself accountable while working remotely from home. Simple, fast, and does exactly what it promises."
2026/05/27 11:34:08,Remote Knowledge Worker,Microsoft Edge,6 – 8 Hours,5,1,5,1,5,2,5,1,5,1,5,4,5,5,Strongly Agree,Significant Reduction,Being able to edit domain categories easily from the settings page saved me a lot of time for niche development tools.
2026/05/27 18:41:41,Undergraduate Student,Google Chrome,4 – 6 Hours,4,2,4,2,4,2,4,2,4,2,4,4,3,4,Agree,Moderate Reduction,The countdown timer on the focus holding page gives just enough friction to stop habitual social media checking.
2026/05/27 18:34:53,Undergraduate Student,Google Chrome,6 – 8 Hours,5,1,5,1,5,1,5,1,5,1,5,5,5,5,Strongly Agree,Significant Reduction,I found the weekly bar chart very insightful for seeing which days of the week I procrastinate the most.
2026/05/28 14:44:46,Freelance Developer / Designer,Google Chrome,6 – 8 Hours,5,1,5,1,4,2,5,1,5,1,5,4,5,5,Strongly Agree,Significant Reduction,Adding an optional sound chime when a focus session concludes would be a great addition to the Pomodoro workflow.
2026/05/28 16:58:54,Postgraduate Researcher,Google Chrome,6 – 8 Hours,4,3,4,2,3,2,4,3,3,3,3,4,3,5,Agree,No Change,Much better than StayFocusd because it provides detailed analytics rather than just a harsh blocking wall.
2026/05/28 17:36:33,Undergraduate Student,Google Chrome,6 – 8 Hours,5,1,5,1,4,1,5,1,5,1,5,4,4,5,Strongly Agree,Significant Reduction,Very easy to install and get started. Didn't need to read any instructions or manuals.
2026/05/28 09:04:34,Undergraduate Student,Google Chrome,> 8 Hours,4,2,3,2,4,3,3,2,4,3,3,4,3,4,Agree,No Change,Helped me manage my ADHD-related hyper-focus on unrelated rabbit holes during my dissertation writing.
2026/05/28 09:56:08,Undergraduate Student,Microsoft Edge,6 – 8 Hours,5,2,5,1,5,1,5,1,5,1,5,5,5,5,Strongly Agree,Significant Reduction,I like the one-click focus start from the toolbar. It creates an intentional boundary before I start coding.
2026/05/28 09:40:27,Remote Knowledge Worker,Google Chrome,4 – 6 Hours,5,1,5,1,4,2,5,1,5,1,5,4,5,5,Strongly Agree,Significant Reduction,Data export as JSON worked seamlessly when I wanted to backup my weekly logs.
2026/05/28 16:02:53,Undergraduate Student,Google Chrome,6 – 8 Hours,5,1,5,1,4,1,5,1,5,1,5,4,4,5,Strongly Agree,Significant Reduction,The category breakdown by color is very intuitive. You can understand your day in less than 2 seconds.
2026/05/29 10:59:59,Undergraduate Student,Google Chrome,6 – 8 Hours,5,1,5,1,5,1,5,1,5,1,5,4,5,5,Strongly Agree,Significant Reduction,The extension feels very native to Chrome. Doesn't feel like bloatware at all.
2026/05/29 14:55:02,Remote Knowledge Worker,Google Chrome,> 8 Hours,5,1,4,1,5,1,5,2,5,1,4,5,4,4,Strongly Agree,Moderate Reduction,Would be great to sync settings across my desktop and laptop without sacrificing local privacy.
2026/05/29 21:34:21,Academic / Faculty,Google Chrome,< 4 Hours,5,1,5,1,5,1,5,1,5,1,5,5,5,5,Strongly Agree,Significant Reduction,Really helped me cut down on endless YouTube scrolling during my thesis prep.
2026/05/29 22:36:12,Undergraduate Student,Mozilla Firefox,4 – 6 Hours,4,3,4,2,3,3,4,2,4,2,3,3,3,4,Neutral,Moderate Reduction,"The UI is minimalist and focused. No clutter, no unnecessary telemetry."
2026/05/29 19:57:19,Postgraduate Researcher,Mozilla Firefox,4 – 6 Hours,4,1,4,1,5,2,5,1,4,1,5,5,5,4,Strongly Agree,Significant Reduction,I shared it with my university study group and several coursemates have already started using it daily.
2026/05/29 12:13:27,Remote Knowledge Worker,Google Chrome,4 – 6 Hours,4,1,5,1,4,1,5,1,5,1,5,4,4,5,Strongly Agree,Significant Reduction,Tracking accuracy was spot on compared to my phone's screen time counter.
2026/05/29 13:05:52,Academic / Faculty,Google Chrome,4 – 6 Hours,4,1,4,1,4,1,4,2,5,1,5,4,4,4,Strongly Agree,Significant Reduction,I like that you don't have to create an account or provide an email address. Privacy-first software done right.
2026/05/30 14:15:09,Postgraduate Researcher,Google Chrome,6 – 8 Hours,4,2,4,1,5,1,5,1,4,1,5,5,4,5,Agree,Moderate Reduction,Focus mode helped me write two full chapters of my report without getting distracted by news feeds.
2026/05/30 16:38:20,Academic / Faculty,Microsoft Edge,6 – 8 Hours,4,2,4,1,4,1,5,2,5,1,5,5,4,5,Agree,Significant Reduction,The productivity score calculation is very fair and transparent.
2026/05/30 12:28:04,Remote Knowledge Worker,Google Chrome,4 – 6 Hours,4,2,4,2,4,3,4,3,3,2,4,3,3,4,Agree,Moderate Reduction,A Firefox mobile extension version would be awesome for tracking browsing on tablets too.
2026/05/30 08:13:53,Undergraduate Student,Microsoft Edge,6 – 8 Hours,4,2,5,1,4,2,5,2,4,1,5,4,4,5,Strongly Agree,Significant Reduction,"Clean, reliable, and respectful of user privacy. 10/10."
2026/05/30 12:27:31,Undergraduate Student,Google Chrome,6 – 8 Hours,5,1,5,1,4,1,5,1,4,1,5,5,4,5,Strongly Agree,Significant Reduction,The visual contrast and typography in the dashboard look very professional.
2026/05/30 14:08:55,Postgraduate Researcher,Google Chrome,4 – 6 Hours,5,1,5,1,5,1,5,1,5,1,5,5,5,5,Strongly Agree,Significant Reduction,Helped me realize I was spending 2 hours a day on Reddit without even noticing.
2026/05/30 11:41:04,Remote Knowledge Worker,Google Chrome,6 – 8 Hours,4,2,4,2,3,2,4,3,3,3,4,3,3,4,Agree,Moderate Reduction,"The override rule system is very responsive. Once I mapped StackOverflow to Productive, it updated immediately."
2026/05/31 17:38:47,Remote Knowledge Worker,Mozilla Firefox,4 – 6 Hours,4,1,5,1,4,1,5,1,5,1,5,4,4,5,Strongly Agree,Significant Reduction,"Simple, effective, and zero privacy worries."
2026/05/31 11:06:44,Remote Knowledge Worker,Mozilla Firefox,6 – 8 Hours,4,1,5,1,5,2,5,1,4,1,5,5,5,5,Strongly Agree,Significant Reduction,I like that the service worker doesn't drain laptop battery when idle.
2026/05/31 21:31:06,Undergraduate Student,Google Chrome,> 8 Hours,4,2,4,2,5,1,5,1,4,2,4,5,4,4,Strongly Agree,Significant Reduction,Great balance between gentle nudges and hard boundaries.
2026/05/31 21:15:53,Academic / Faculty,Google Chrome,6 – 8 Hours,4,1,4,1,4,1,5,2,4,2,5,5,5,5,Strongly Agree,Moderate Reduction,"The weekly trends showed that my focus drops significantly on Friday afternoons, which helped me reschedule heavy tasks."
2026/05/31 19:56:17,Postgraduate Researcher,Google Chrome,4 – 6 Hours,5,1,5,1,4,1,5,1,5,1,5,5,5,5,Strongly Agree,Significant Reduction,Would love integration with Google Calendar in future versions if privacy can be maintained.
2026/05/31 11:25:44,Undergraduate Student,Mozilla Firefox,4 – 6 Hours,5,2,4,2,4,2,5,2,5,2,4,4,4,4,Strongly Agree,Significant Reduction,Very intuitive interface. My favorite extension of the semester.
2026/05/31 09:47:34,Academic / Faculty,Mozilla Firefox,4 – 6 Hours,5,1,4,2,5,2,4,1,5,1,4,4,5,5,Agree,Moderate Reduction,Stopped my compulsive habit of opening new tabs whenever a build was compiling.
2026/06/01 10:17:02,Freelance Developer / Designer,Google Chrome,6 – 8 Hours,5,1,5,1,5,1,5,1,5,1,5,5,5,5,Strongly Agree,Significant Reduction,The holding redirect page is much friendlier than a 404 or connection blocked error.
2026/06/01 09:52:04,Undergraduate Student,Google Chrome,6 – 8 Hours,5,2,5,1,5,1,5,1,4,1,5,5,4,5,Strongly Agree,Significant Reduction,Genuinely improved my study discipline during exam week.
2026/06/01 14:28:58,Postgraduate Researcher,Microsoft Edge,< 4 Hours,4,1,5,1,5,1,5,1,5,1,5,5,5,5,Strongly Agree,Significant Reduction,"Clear charts, accurate timers, and completely local. Highly recommended."
2026/06/01 10:35:04,Undergraduate Student,Google Chrome,6 – 8 Hours,4,1,5,2,4,1,5,1,4,1,4,4,4,4,Strongly Agree,Significant Reduction,I work as a remote analyst and this helped me document my research hours accurately.
2026/06/01 09:34:14,Postgraduate Researcher,Microsoft Edge,> 8 Hours,5,1,5,1,4,1,5,1,5,1,5,4,5,5,Strongly Agree,Significant Reduction,The popup summary is perfect for a quick check before logging off for the day.
2026/06/01 12:32:34,Postgraduate Researcher,Google Chrome,4 – 6 Hours,5,2,5,1,5,1,5,1,4,1,5,5,4,5,Strongly Agree,Significant Reduction,The installation was instant. Worked immediately with no configuration required.
2026/06/01 08:48:48,Undergraduate Student,Google Chrome,6 – 8 Hours,4,1,5,1,5,1,5,1,5,1,5,5,5,5,Strongly Agree,Significant Reduction,Good tool for self-reflection on digital habits.
2026/06/02 13:26:44,Postgraduate Researcher,Mozilla Firefox,6 – 8 Hours,4,2,4,1,4,2,4,2,4,1,5,4,5,5,Strongly Agree,Significant Reduction,I like the flexibility of choosing which categories to block during focus sessions.
2026/06/02 16:23:39,Remote Knowledge Worker,Google Chrome,6 – 8 Hours,4,1,5,1,4,1,5,1,4,1,5,4,5,5,Strongly Agree,Significant Reduction,Really appreciate the open-source and privacy-respecting philosophy behind this project.
2026/06/02 12:35:00,Postgraduate Researcher,Google Chrome,< 4 Hours,3,2,4,2,4,3,4,3,4,2,4,3,3,5,Agree,No Change,Helped me maintain a healthy work-life balance while working from home.
2026/06/02 10:24:12,Academic / Faculty,Google Chrome,> 8 Hours,3,2,3,2,4,2,4,3,4,3,3,4,3,5,Agree,No Change,Charts load instantly with no lag.
2026/06/02 15:22:21,Postgraduate Researcher,Google Chrome,6 – 8 Hours,5,2,5,1,5,1,5,1,5,1,5,4,5,5,Strongly Agree,Significant Reduction,The productivity percentage gave me a clear benchmark to aim for each morning.
2026/06/02 14:42:50,Remote Knowledge Worker,Safari,6 – 8 Hours,4,2,5,1,5,1,5,1,5,1,5,5,4,5,Strongly Agree,Significant Reduction,Excellent project for digital wellbeing.
2026/06/02 10:04:30,Remote Knowledge Worker,Google Chrome,6 – 8 Hours,5,1,5,1,5,1,5,1,5,1,5,4,5,5,Strongly Agree,Significant Reduction,The custom blocklist is easy to manage.
2026/06/03 11:40:43,Academic / Faculty,Safari,6 – 8 Hours,5,2,5,1,5,1,5,1,5,1,5,5,5,5,Strongly Agree,Significant Reduction,Helped me stay off shopping sites during working hours.
2026/06/03 13:23:27,Undergraduate Student,Google Chrome,6 – 8 Hours,4,1,4,2,4,1,5,1,5,1,5,4,5,4,Strongly Agree,Significant Reduction,Very clean aesthetic and smooth animations.
2026/06/03 12:42:00,Remote Knowledge Worker,Google Chrome,4 – 6 Hours,4,2,5,2,4,1,5,1,5,2,4,4,5,5,Strongly Agree,Significant Reduction,The local IndexedDB storage makes queries very fast.
2026/06/03 14:36:22,Postgraduate Researcher,Safari,4 – 6 Hours,2,2,3,2,4,3,3,3,4,2,3,3,3,4,Neutral,Moderate Reduction,Best productivity tool I've used this year.
2026/06/03 18:12:39,Undergraduate Student,Mozilla Firefox,6 – 8 Hours,4,1,4,2,5,1,5,2,4,1,4,4,4,5,Strongly Agree,Significant Reduction,Great work on the user experience. Felt polished from day one.
2026/06/03 19:26:11,Undergraduate Student,Mozilla Firefox,> 8 Hours,4,1,5,1,5,1,5,1,5,1,5,5,5,5,Strongly Agree,Significant Reduction,Helped reduce my context-switching fatigue substantially.
2026/06/03 21:43:46,Postgraduate Researcher,Google Chrome,> 8 Hours,4,2,4,1,5,1,5,2,4,1,5,5,4,5,Agree,Significant Reduction,The holding page countdown keeps me motivated to push through to the end of the sprint.
2026/06/04 09:43:14,Postgraduate Researcher,Google Chrome,< 4 Hours,4,1,5,1,4,1,5,1,4,1,5,5,5,5,Strongly Agree,Significant Reduction,A fantastic tool for students and researchers alike.
2026/06/04 08:19:31,Undergraduate Student,Google Chrome,6 – 8 Hours,5,2,5,1,4,1,5,1,4,1,5,4,5,5,Strongly Agree,Significant Reduction,"Simple, reliable, and private. Exactly what productivity software should be."
